Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"02079","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1101","89.86%"
"02081","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","530","87.75%"
"02082","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","725","88.21%"
"02088","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","537","87.63%"
"02094","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","849","87.74%"
"02095","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1","100.00%"
"02096","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02097","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02098","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","308","72.79%"
"02099","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","207","71.50%"
"02100","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02101","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02102","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","100.00%"
"02103","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","8","90.48%"
"02104","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02108","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1","200.00%"
"02109","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02111","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","100.00%"
"02117","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1585","76.93%"
"02122","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","11","53.33%"
"02128","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1005","72.78%"
"02129","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02133","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02134","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","728","71.86%"
"02135","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","753","67.70%"
"02143","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1499","79.66%"
"02148","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","572","80.78%"
"02151","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","392","76.36%"
"02152","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1095","80.09%"
"02153","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","115","75.26%"
"02160","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","877","78.81%"
"02166","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1252","80.61%"
"02171","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","656","77.96%"
"02181","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1260","76.13%"
"02182","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","480","81.32%"
"02187","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1437","75.42%"
"02193","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1603","73.17%"
"02194","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1604","77.73%"
"02201","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","951","82.25%"
"02205","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","740","77.88%"
"02212","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","584","79.70%"
"02216","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1478","71.89%"
"02223","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1151","77.55%"
"02224","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","416","83.09%"
"02225","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","2150","81.06%"
"02228","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","482","68.60%"
"02229","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","743","78.58%"
"02230","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","701","83.29%"
"02234","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","770","88.30%"
"02235","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","951","86.46%"
"02237","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","407","90.17%"
"02238","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02242","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","2","100.00%"
"02244","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","608","88.83%"
"02303","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02304","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02306","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","55","76.12%"
"02307","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","129","75.40%"
"02315","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","449","77.49%"
"02319","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","617","74.48%"
"02321","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","663","75.65%"
"02322","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02331","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","112","83.90%"
"02337","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","437","75.50%"
"02338","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","309","75.17%"
"02341","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","403","83.37%"
"02345","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","250","90.95%"
"02347","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","378","76.77%"
"02348","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","284","81.24%"
"02352","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","772","77.03%"
"02355","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","166","83.73%"
"02356","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","658","76.09%"
"02357","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","530","77.95%"
"02359","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","674","72.04%"
"02361","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","166","82.73%"
"02362","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","300","81.35%"
"02368","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","421","75.96%"
"02370","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","133","77.42%"
"02371","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","592","75.17%"
"02377","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","134","76.59%"
"02385","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","363","80.84%"
"02387","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","387","84.88%"
"02389","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","697","78.28%"
"02391","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","979","82.02%"
"02392","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1157","76.15%"
"02395","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","910","84.70%"
"02398","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","894","85.10%"
"02401","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","465","79.31%"
"02402","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","304","80.40%"
"02405","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","905","79.69%"
"02408","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02409","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","45","64.21%"
"02423","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","380","83.01%"
"02429","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1321","70.12%"
"02432","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1184","80.53%"
"02434","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02437","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","696","76.58%"
"02438","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","510","84.64%"
"02440","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","608","80.61%"
"02441","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","176","85.03%"
"02443","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","959","80.74%"
"02448","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1114","69.65%"
"02450","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","712","73.74%"
"02453","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02455","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"02457","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1065","76.18%"
"02459","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","7","94.74%"
"02460","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"05302","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","301","91.99%"
"05303","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","817","85.38%"
"05307","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","523","86.69%"
"05308","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","967","86.23%"
"05311","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1021","88.57%"
"05319","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","508","86.49%"
"05320","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"05333","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","29","89.52%"
"05334","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","192","80.52%"
"05335","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"05336","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"05337","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"05339","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1153","87.30%"
"05340","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1439","87.47%"
"05379","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","809","87.83%"
"05380","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1007","89.82%"
"05381","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1088","89.35%"
"05384","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","311","87.08%"
"05386","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1311","88.09%"
"05389","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","135","89.76%"
"05391","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"05392","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","51","90.63%"
"05396","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","105","92.67%"
"05397","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","771","87.84%"
"05398","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"06200","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"06204","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","85.71%"
"06205","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","100.00%"
"06206","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"07092","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","286","71.28%"
"07093","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","85","62.78%"
"07094","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","197","83.89%"
"07095","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","91","76.73%"
"07098","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","252","77.69%"
"07101","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","722","68.83%"
"07104","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","416","72.85%"
"07106","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","424","79.80%"
"07108","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","872","76.39%"
"07109","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","475","81.91%"
"07110","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","562","81.65%"
"07112","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1254","73.15%"
"07120","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","149","84.30%"
"07121","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","153","85.63%"
"07122","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","704","86.52%"
"07123","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","270","73.14%"
"07124","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","156","83.28%"
"07125","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","53","73.39%"
"07126","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","736","85.38%"
"07127","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","95","81.45%"
"07129","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","118","81.43%"
"07130","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","16","36.07%"
"07131","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","194","85.28%"
"07133","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","103","81.82%"
"07134","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","322","73.42%"
"07135","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","233","85.25%"
"07136","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","15","103.33%"
"07137","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","119","82.92%"
"07138","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","508","82.15%"
"07139","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","57","83.33%"
"07140","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","332","84.59%"
"07142","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","50.00%"
"07145","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","316","84.92%"
"07146","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","148","83.10%"
"07147","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","202","84.75%"
"07148","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","27","93.33%"
"07149","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","430","83.60%"
"07151","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","402","80.28%"
"07152","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","594","83.91%"
"07158","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","284","83.94%"
"07159","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","288","85.15%"
"07161","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","162","84.75%"
"07166","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1262","84.31%"
"07167","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1228","83.14%"
"07169","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","0.00%"
"07170","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","274","82.64%"
